Date,Bike trips,Total distance (m),Total duration (sec),Mean departure temperature (C),Mean return temperature (C),Electric bike trips
2017-01-01,162,338025.0,232693.0,3.5555555555555554,4.296296296296297,
2017-01-02,270,660054.0,382729.0,2.7185185185185183,3.688888888888889,
2017-01-03,384,635395.0,376013.0,0.8072916666666666,1.7916666666666667,
2017-01-04,460,766082.0,376721.0,2.767391304347826,3.643478260869565,
2017-01-05,524,888222.0,524933.0,2.601145038167939,3.5248091603053435,
2017-01-06,387,674759.0,224497.0,4.007751937984496,5.366925064599483,
2017-01-07,351,754413.0,329623.0,4.119658119658119,5.247863247863248,
2017-01-08,168,302637.0,240840.0,4.690476190476191,5.726190476190476,
2017-01-09,521,1011098.0,356546.0,6.218809980806142,7.571976967370442,
2017-01-10,699,1341828.0,684498.0,3.612303290414878,4.838340486409156,
2017-01-11,708,1328753.0,747148.0,2.0579096045197742,3.285310734463277,
2017-01-12,653,1267478.0,727478.0,1.4762633996937213,2.705972434915773,
2017-01-13,682,1327822.0,554401.0,2.005865102639296,3.1158357771260996,
2017-01-14,533,1340303.0,580717.0,4.825515947467167,5.512195121951219,
2017-01-15,457,1103324.0,428301.0,5.8599562363238515,6.866520787746171,
2017-01-16,536,1196898.0,661249.0,6.824626865671642,8.052238805970148,
2017-01-17,225,425173.0,151390.0,9.004444444444445,10.36888888888889,
2017-01-18,352,716573.0,406971.0,11.153409090909092,12.315340909090908,
2017-01-19,373,763771.0,361990.0,8.914209115281501,10.131367292225201,
2017-01-20,907,2164424.0,985158.0,8.882028665931642,9.98787210584344,
2017-01-21,619,1633394.0,624089.0,10.5702746365105,11.476575121163167,
2017-01-22,273,602113.0,209467.0,7.47985347985348,8.68131868131868,
2017-01-23,773,1718662.0,638664.0,7.081500646830531,8.35705045278137,
2017-01-24,782,1737586.0,682994.0,6.8081841432225065,8.135549872122763,
2017-01-25,782,1570958.0,527440.0,7.474424552429667,8.79539641943734,
2017-01-26,822,1799429.0,756621.0,7.188564476885645,8.489051094890511,
2017-01-27,884,1921758.0,763949.0,9.234162895927602,10.372171945701357,
2017-01-28,772,2222353.0,876928.0,10.093264248704664,11.009067357512953,
2017-01-29,394,944012.0,378776.0,8.682741116751268,9.880710659898478,
2017-01-30,748,1598303.0,783366.0,7.105614973262032,8.332887700534759,
2017-01-31,876,2058163.0,1117153.0,6.065068493150685,7.257990867579909,
2017-02-01,914,2138128.0,887087.0,6.00109409190372,7.230853391684901,
2017-02-02,913,1800438.0,780019.0,5.4424972617743705,6.715224534501643,
2017-02-03,208,417005.0,154699.0,2.0288461538461537,3.019230769230769,
2017-02-04,84,161951.0,70927.0,3.011904761904762,3.5476190476190474,
2017-02-05,134,237799.0,134540.0,2.9925373134328357,3.985074626865672,
2017-02-06,216,340921.0,180372.0,1.5787037037037037,2.490740740740741,
2017-02-07,341,598403.0,414760.0,3.070381231671554,3.8475073313782993,
2017-02-08,295,486203.0,428348.0,1.264406779661017,2.4271186440677965,
2017-02-09,340,580503.0,204244.0,8.135294117647058,9.132352941176471,
2017-02-10,497,908649.0,669788.0,7.303822937625754,8.525150905432596,
2017-02-11,531,1366780.0,633179.0,8.425612052730697,9.220338983050848,
2017-02-12,695,1880246.0,875093.0,9.920863309352518,10.211510791366907,
2017-02-13,906,2499038.0,1148360.0,10.852097130242825,10.973509933774835,
2017-02-14,672,1289622.0,636687.0,11.06547619047619,12.244047619047619,
2017-02-15,410,805436.0,253838.0,12.180487804878048,13.502439024390243,
2017-02-16,859,1940763.0,997246.0,12.239813736903375,13.236321303841676,
2017-02-17,974,2440765.0,1543736.0,10.583162217659138,11.427104722792608,
2017-02-18,554,1344034.0,759880.0,8.046931407942239,8.998194945848375,
2017-02-19,342,740359.0,281797.0,8.640350877192983,9.616959064327485,
2017-02-20,976,2476658.0,971009.0,9.219262295081966,10.20594262295082,
2017-02-21,1039,2309946.0,1033444.0,8.585178055822906,9.684311838306064,
2017-02-22,1026,2570630.0,1154641.0,7.806042884990253,8.797270955165692,
2017-02-23,1024,2367478.0,1019345.0,7.0771484375,8.0419921875,
2017-02-24,936,2129023.0,1155040.0,7.202991452991453,8.120726495726496,
2017-02-25,724,1931802.0,883611.0,7.04696132596685,7.9502762430939224,
2017-02-26,871,2447625.0,961322.0,10.059701492537313,10.539609644087257,
2017-02-27,842,1706401.0,590524.0,4.818289786223278,5.989311163895487,
2017-02-28,718,1312051.0,493053.0,5.717270194986073,6.720055710306407,
2017-03-01,845,1814915.0,677078.0,8.932544378698225,10.151479289940829,
2017-03-02,420,851830.0,295791.0,7.795238095238095,9.195238095238095,
2017-03-03,508,1032779.0,425176.0,7.903543307086614,9.358267716535433,
2017-03-04,856,2660016.0,1301287.0,8.189252336448599,8.744158878504672,
2017-03-05,166,330932.0,116666.0,3.9698795180722892,5.289156626506024,
2017-03-06,835,1872380.0,933094.0,6.822754491017964,7.917365269461078,
2017-03-07,450,878633.0,310729.0,4.024444444444445,5.504444444444444,
2017-03-08,606,1284745.0,434504.0,6.295379537953796,7.628712871287129,
2017-03-09,544,1194839.0,471205.0,5.876838235294118,7.251838235294118,
2017-03-10,955,2338209.0,906801.0,10.868062827225131,11.701570680628272,
2017-03-11,305,636872.0,250821.0,8.514754098360656,9.826229508196722,
2017-03-12,348,911441.0,388403.0,10.301724137931034,11.408045977011493,
2017-03-13,550,1352286.0,703076.0,10.256363636363636,11.663636363636364,
2017-03-14,714,1541001.0,544753.0,13.624649859943977,14.822128851540617,
2017-03-15,742,1602395.0,492080.0,11.280323450134771,12.563342318059298,
2017-03-16,772,1731206.0,825157.0,8.408031088082902,9.677461139896373,
2017-03-17,683,1679784.0,710054.0,8.862371888726209,10.011713030746705,
2017-03-18,884,2401624.0,1279673.0,10.763574660633484,11.132352941176471,
2017-03-19,943,2912058.0,1382360.0,12.195121951219512,12.303287380699894,
2017-03-20,1055,2517716.0,1194247.0,10.196208530805688,11.092890995260664,
2017-03-21,691,1519142.0,620243.0,11.02026049204052,12.124457308248914,
2017-03-22,719,1559283.0,527721.0,11.47009735744089,12.634214186369958,
2017-03-23,722,1677453.0,828425.0,11.48060941828255,12.552631578947368,
2017-03-24,677,1545501.0,540917.0,10.409158050221565,11.53618906942393,
2017-03-25,1131,3454189.0,1422124.0,13.539345711759506,13.73740053050398,
2017-03-26,262,607847.0,289657.0,9.0,10.061068702290076,
2017-03-27,753,1694245.0,672673.0,12.245683930942896,13.237715803452856,
2017-03-28,239,447200.0,271296.0,8.456066945606695,9.916317991631798,
2017-03-29,638,1389715.0,555767.0,12.117554858934168,13.12539184952978,
2017-03-30,1282,3562587.0,1652113.0,13.577223088923557,14.125585023400935,
2017-03-31,1068,2582839.0,1104080.0,12.558988764044944,13.596441947565543,
2017-04-01,884,2431175.0,989571.0,13.720588235294118,14.039592760180996,
2017-04-02,1374,4484856.0,1856832.0,14.176855895196507,14.144832605531295,
2017-04-03,1289,3479441.0,1386711.0,12.461598138091544,13.080682699767262,
2017-04-04,799,1731719.0,762232.0,11.959949937421777,13.275344180225282,
