"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-01","2018","01","01","","3.0","","-4.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-02","2018","01","02","","3.0","","-3.3","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-03","2018","01","03","","4.0","","-1.6","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-04","2018","01","04","","5.7","","1.4","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-05","2018","01","05","","9.7","","4.6","","7.2","","10.8","","0.0","","21.8","","0.0","","21.8","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-06","2018","01","06","","9.2","","5.0","","7.1","","10.9","","0.0","","1.0","","0.0","","1.0","","","","29","","43",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-07","2018","01","07","","6.7","","4.6","","5.7","","12.3","","0.0","","15.8","","0.0","","15.8","","","","11","","37",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-08","2018","01","08","","7.8","","6.0","","6.9","","11.1","","0.0","","12.0","","0.0","","12.0","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-09","2018","01","09","","7.6","","5.0","","6.3","","11.7","","0.0","","3.4","","0.0","","3.4","","","","26","","54",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-10","2018","01","10","","6.8","","2.0","","4.4","","13.6","","0.0","","0.0","T","0.0","","0.0","T","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-11","2018","01","11","","5.9","","2.8","","4.4","","13.6","","0.0","","17.6","","0.0","","17.6","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-12","2018","01","12","","5.4","","2.3","","3.9","","14.1","","0.0","","20.0","","0.0","","20.0","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-13","2018","01","13","","8.8","","3.4","","6.1","","11.9","","0.0","","6.6","","0.0","","6.6","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-14","2018","01","14","","5.7","","0.9","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-15","2018","01","15","","9.4","","0.1","","4.8","","13.2","","0.0","","0.0","T","0.0","","0.0","T","","","5","","30",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-16","2018","01","16","","11.2","","8.0","","9.6","","8.4","","0.0","","3.8","","0.0","","3.8","","","","14","","44",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-17","2018","01","17","","11.8","","6.9","","9.4","","8.6","","0.0","","11.4","","0.0","","11.4","","","","5","","56",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-18","2018","01","18","","10.1","","6.2","","8.2","","9.8","","0.0","","2.0","","0.0","","2.0","","","","11","","50",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2018-01-19","2018","01","19","","7.2","","6.1","","6.7","","11.3","","0.0","","7.8","","0.0","","7.8","","","","13","","44",""
