"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 00:00","2019","09","01","00:00","18.4","","15.4","","83","","","","","","0","","32.2","","101.35","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 01:00","2019","09","01","01:00","16.5","","14.8","","90","","","","","","0","","32.2","","101.36","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 02:00","2019","09","01","02:00","17.8","","15.0","","83","","","","13","","8","","32.2","","101.37","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 03:00","2019","09","01","03:00","16.5","","14.8","","90","","","","9","","11","","32.2","","101.38","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 04:00","2019","09","01","04:00","16.1","","14.3","","89","","","","10","","14","","32.2","","101.39","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 05:00","2019","09","01","05:00","16.0","","14.2","","89","","","","9","","10","","32.2","","101.40","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 06:00","2019","09","01","06:00","16.0","","14.2","","89","","","","9","","11","","48.3","","101.43","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 07:00","2019","09","01","07:00","16.8","","14.5","","86","","","","11","","15","","48.3","","101.47","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 08:00","2019","09","01","08:00","17.9","","14.9","","83","","","","12","","11","","48.3","","101.50","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-09-01 09:00","2019","09","01","09:00","20.4","","14.6","","69","","","","11","","10","","48.3","","101.52","","","","","","NA"
