Departure,Return,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2022-02-01 0:00,2022-02-01 0:00,0055 Keefer & Columbia,0011 Ontario & Seawall,365 Corporate Plus,1112,519,3602,3710,6,7,0,0
2022-02-01 0:00,2022-02-01 0:00,0126 Thurlow & Pendrell,0126 Thurlow & Pendrell,30 Day Pass,0,83,3482,3602,7,7,0,0
2022-02-01 0:00,2022-02-01 0:00,0126 Thurlow & Pendrell,0126 Thurlow & Pendrell,30 Day Pass,28,83,3706,3802,7,6,0,0
2022-02-01 0:00,2022-02-01 0:00,0126 Thurlow & Pendrell,0126 Thurlow & Pendrell,30 Day Pass,57,147,3494,3634,7,6,0,0
2022-02-01 0:00,2022-02-01 0:00,0014 Canada Place,0138 Richards & Helmcken,365 Standard,1613,468,3735,3853,6,8,0,0
2022-02-01 0:00,2022-02-01 1:00,0039 Helmcken & Burrard,0063 Robson & Granville,30 Day Pass,2360,1307,3934,4076,7,7,0,0
2022-02-01 1:00,2022-02-01 1:00,0075 Arbutus & 10th,0166 Alder & 11th,VIP,1690,566,3619,3742,6,8,0,0
2022-02-01 1:00,2022-02-01 1:00,0075 Arbutus & 10th,0166 Alder & 11th,VIP,1674,592,3674,3790,6,8,0,0
2022-02-01 1:00,2022-02-01 1:00,0300 Bute & Barclay,0088 Harwood & Bute,365 Plus,735,178,3692,3723,6,8,0,0
2022-02-01 1:00,2022-02-01 1:00,0014 Canada Place,0041 Cardero & Robson,365 Day Founding Standard,1678,419,3750,3869,6,8,0,0
2022-02-01 1:00,2022-02-01 1:00,0063 Robson & Granville,0063 Robson & Granville,30 Day Pass,2530,2272,3735,3892,6,6,0,0
2022-02-01 2:00,2022-02-01 2:00,0053 Keefer & Abbott,0053 Keefer & Abbott,24 Hour,0,17,3474,3613,6,5,0,0
2022-02-01 2:00,2022-02-01 3:00,0053 Keefer & Abbott,0053 Keefer & Abbott,24 Hour,3967,1642,3640,3918,5,6,0,0
2022-02-01 2:00,2022-02-01 3:00,0053 Keefer & Abbott,0053 Keefer & Abbott,24 Hour,3620,1922,3732,3924,6,7,0,0
2022-02-01 2:00,2022-02-01 3:00,0053 Keefer & Abbott,0053 Keefer & Abbott,24 Hour,4039,1973,3394,3671,6,7,0,0
2022-02-01 5:00,2022-02-01 5:00,0129 Richards & Robson,0016 Pender & Burrard,365 Day Founding Standard,1106,297,3631,3806,6,7,0,0
2022-02-01 5:00,2022-02-01 6:00,0089 Burrard & Drake,0089 Burrard & Drake,365 Day Founding Plus,12392,2564,3503,3897,5,5,0,0
2022-02-01 6:00,2022-02-01 6:00,0019 Robson & Hornby,0024 Hornby & Pender,365 Standard,592,138,3578,3798,5,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0166 Alder & 11th,0001 10th & Cambie,365 Standard,1362,286,3426,3655,2,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0032 Comox & Denman,0060 Bidwell & Burnaby,365 Day Founding Plus,504,222,3826,3898,4,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0174 1st & Manitoba,0008 8th & Ash,365 Corporate Plus,1290,415,3534,3681,3,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0266 St Catherines & 7th,0225 McLean & Pender,365 Day Founding Standard,2685,927,3490,3668,2,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0032 Comox & Denman,0024 Hornby & Pender,365 Standard,2205,667,3569,3758,4,5,0,0
2022-02-01 6:00,2022-02-01 6:00,0187 Bute & Davie,0015 Granville & Georgia,365 Standard,892,468,3492,3589,3,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0221 Glen & Union,0280 Triumph & Victoria,365 Standard,1933,603,3629,3776,1,3,0,0
2022-02-01 6:00,2022-02-01 6:00,0050 Bute & Comox,0035 Coal Harbour Community Centre,30 Day Pass,1335,576,3702,3790,4,4,0,0
2022-02-01 6:00,2022-02-01 6:00,0112 10th & Oak,0211 14th & Alder,Community Pass,837,322,3610,3831,4,6,0,0
2022-02-01 6:00,2022-02-01 7:00,0142 Beach & Cardero,0084 Beach & Broughton,365 Day Founding Plus,338,188,3843,3863,2,3,0,0
2022-02-01 7:00,2022-02-01 7:00,0193 Science World,0006 Olympic Village Station,Community Pass,3033.33,364,3997,4134,3,5,0,0
2022-02-01 7:00,2022-02-01 7:00,0190 Melville & Bute,0124 Richards & Cordova,30 Day Pass,1208,314,3758,3892,4,4,0,0
2022-02-01 7:00,2022-02-01 7:00,0088 Harwood & Bute,0024 Hornby & Pender,365 Corporate Standard Renewal,1958,451,3590,3800,3,4,0,0
2022-02-01 7:00,2022-02-01 7:00,0011 Ontario & Seawall,0108 1st & Chestnut,365 Standard,3857,959,3615,3890,1,2,0,0
2022-02-01 7:00,2022-02-01 7:00,0256 Prince Edward & 16th,0261 8th & Fraser,365 Plus,1556,445,3611,3877,0,2,0,0
2022-02-01 7:00,2022-02-01 7:00,0138 Richards & Helmcken,0098 Carrall & Hastings,30 Day Pass,1988,787,3906,3971,4,4,0,0
2022-02-01 7:00,2022-02-01 7:00,0088 Harwood & Bute,0016 Pender & Burrard,365 Plus,2170,912,3742,3956,2,1,0,0
2022-02-01 7:00,2022-02-01 7:00,0024 Hornby & Pender,0032 Comox & Denman,365 Standard,2452,838,3621,3769,4,5,0,0
2022-02-01 7:00,2022-02-01 7:00,0140 Burrard & 7th,0234 Station & National,30 Day Pass,4527,945,3892,4087,3,4,0,0
2022-02-01 7:00,2022-02-01 7:00,0126 Thurlow & Pendrell,0123 Georgia & Thurlow,365 Standard,1155,387,3921,4077,3,3,0,0
2022-02-01 7:00,2022-02-01 7:00,0139 Burrard & 4th,0153 Arbutus Greenway & Fir,365 Day Founding Plus,567,212,3524,3682,3,5,0,0
2022-02-01 7:00,2022-02-01 7:00,0039 Helmcken & Burrard,0096 Nicola & Robson,365 Standard,1300,422,3795,4042,4,6,0,0
2022-02-01 7:00,2022-02-01 7:00,0266 St Catherines & 7th,0171 5th & Yukon,30 Day Pass,2180,549,3558,3731,2,5,0,0
2022-02-01 7:00,2022-02-01 7:00,0204 York & Yew,0012 Dunsmuir & Richards,365 Day Pass Standard SALE,3873,1394,3610,3792,3,4,0,0
2022-02-01 7:00,2022-02-01 7:00,0215 Princess & Union,0305 Georgia & Homer,30 Day Pass,2005,753,3715,3805,2,4,0,0
2022-02-01 7:00,2022-02-01 7:00,0082 Richards & Davie,0024 Hornby & Pender,365 Plus,1658,414,3594,3855,4,6,0,0
2022-02-01 7:00,2022-02-01 7:00,0048 Comox & Broughton,0126 Thurlow & Pendrell,365 Corporate Standard,696,425,3924,4043,3,1,0,0
2022-02-01 7:00,2022-02-01 7:00,0123 Georgia & Thurlow,0021 Cordova & Granville,30 Day Pass,1131,214,3534,3639,5,7,0,0
2022-02-01 7:00,2022-02-01 7:00,0088 Harwood & Bute,0108 1st & Chestnut,365 Day Founding Plus,1864,534,3985,4037,4,5,0,0
2022-02-01 7:00,2022-02-01 7:00,0096 Nicola & Robson,0040 Cardero & Davie,30 Day Pass,655,167,3724,3903,3,5,0,0
2022-02-01 7:00,2022-02-01 7:00,0096 Nicola & Robson,0096 Nicola & Robson,30 Day Pass,0,19,3402,3571,3,2,0,0
2022-02-01 7:00,2022-02-01 7:00,0150 Alexander & Main,0124 Richards & Cordova,365 Plus,880,310,3528,3631,2,2,0,0
2022-02-01 7:00,2022-02-01 7:00,0206 8th & Scotia,0258 13th & St George,365 Standard,1021,307,3861,3979,2,3,0,0
2022-02-01 7:00,2022-02-01 7:00,0044 Pacific & Richards,0123 Georgia & Thurlow,Archived Monthly Standard,1931,590,3553,3682,6,7,0,0
