Departure,Return,Departure station,Return station,Memebership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2022-01-01 1:00,2022-01-01 1:00,0133 Ontario & 16th,0001 10th & Cambie,365 Standard,1241,611,3486,3534,-2,-3,0,0
2022-01-01 1:00,2022-01-01 1:00,0139 Burrard & 4th,0065 Cypress & Cornwall,365 Corporate Standard Renewal,731,233,3416,3569,-2,0,0,0
2022-01-01 1:00,2022-01-01 2:00,0076 Cypress & 4th,0032 Comox & Denman,365 Plus,3602,1381,3671,3831,-3,0,0,0
2022-01-01 1:00,2022-01-01 2:00,0015 Granville & Georgia,0102 Stanley Park - Second Beach North,Archived Monthly Plus,4251,1466,3503,3900,0,0,0,0
2022-01-01 2:00,2022-01-01 3:00,0004 Yaletown-Roundhouse Station,0005 Dunsmuir & Beatty,365 Plus,1174,588,3737,3840,-2,-7,0,0
2022-01-01 2:00,2022-01-01 3:00,0009 Spyglass & Seawall,0071 14th & Granville,30 Day Pass,3099,1197,3610,3777,-2,-5,0,0
2022-01-01 2:00,2022-01-01 3:00,0102 Stanley Park - Second Beach North,0045 Beach & Hornby,Archived Monthly Plus,2938,1237,3573,3737,-1,-1,0,0
2022-01-01 3:00,2022-01-01 3:00,0053 Keefer & Abbott,0011 Ontario & Seawall,365 Plus,1531,491,3421,3744,-1,0,0,0
2022-01-01 5:00,2022-01-01 5:00,0287 Carolina & Great Northern Way,0126 Thurlow & Pendrell,365 Plus,4578,1562,3487,3811,-2,0,0,0
2022-01-01 7:00,2022-01-01 7:00,0005 Dunsmuir & Beatty,0190 Melville & Bute,Community Pass,1394,571,3355,3524,-1,-1,0,0
2022-01-01 8:00,2022-01-01 9:00,0213 Pender & Gore,0009 Spyglass & Seawall,30 Day Pass,2403,793,3534,3737,-1,0,0,0
2022-01-01 8:00,2022-01-01 9:00,0084 Beach & Broughton,0028 Davie & Beach,365 Day Founding Plus,822,386,3615,3768,0,0,0,0
2022-01-01 9:00,2022-01-01 9:00,0028 Davie & Beach,0084 Beach & Broughton,365 Day Founding Plus,3336,2014,3660,3930,0,1,0,0
2022-01-01 10:00,2022-01-01 10:00,0209 Stanley Park - Information Booth,0209 Stanley Park - Information Booth,24 Hour,2,114,3673,3745,0,0,0,0
2022-01-01 10:00,2022-01-01 10:00,0019 Robson & Hornby,0026 Beatty & Robson,365 Corporate Plus,865,350,3803,3881,1,1,0,0
2022-01-01 10:00,2022-01-01 10:00,0032 Comox & Denman,0040 Cardero & Davie,30 Day Pass,494,311,3698,3876,0,0,0,0
2022-01-01 10:00,2022-01-01 11:00,0209 Stanley Park - Information Booth,0100 Stanley Park - Prospect Point,24 Hour,5674,3546,3520,3584,0,1,0,0
2022-01-01 10:00,2022-01-01 11:00,0209 Stanley Park - Information Booth,0100 Stanley Park - Prospect Point,24 Hour,5689,3770,3724,3853,0,0,0,0
2022-01-01 11:00,2022-01-01 11:00,0019 Robson & Hornby,0041 Cardero & Robson,365 Standard,1104,546,3839,3948,1,2,0,0
2022-01-01 11:00,2022-01-01 11:00,0084 Beach & Broughton,0084 Beach & Broughton,365 Day Founding Plus,161,84,3748,3840,1,1,0,0
2022-01-01 11:00,2022-01-01 11:00,0088 Harwood & Bute,0063 Robson & Granville,365 Standard,1556,421,3387,3547,1,4,0,0
2022-01-01 11:00,2022-01-01 12:00,0100 Stanley Park - Prospect Point,0047 Chilco & Beach,24 Hour,3924,1317,3344,3647,2,1,0,0
2022-01-01 11:00,2022-01-01 12:00,0100 Stanley Park - Prospect Point,0047 Chilco & Beach,24 Hour,3914,1300,3673,3919,1,0,0,0
2022-01-01 12:00,2022-01-01 12:00,0089 Burrard & Drake,0108 1st & Chestnut,365 Day Founding Plus,1582,485,3468,3737,2,3,0,0
2022-01-01 12:00,2022-01-01 12:00,0087 Broughton & Burnaby,0037 Hornby & Nelson,30 Day Pass,1174,529,3500,3660,1,0,0,0
2022-01-01 12:00,2022-01-01 13:00,0125 Hamilton & Robson,0222 Adanac & McLean,365 Standard,3373,1099,3655,3808,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0011 Ontario & Seawall,0055 Keefer & Columbia,365 Day Founding Plus,1078,362,3598,3764,3,4,0,0
2022-01-01 13:00,2022-01-01 13:00,0011 Ontario & Seawall,0055 Keefer & Columbia,365 Day Founding Plus,1084,351,3647,3900,2,4,0,0
2022-01-01 13:00,2022-01-01 13:00,0002 Burrard Station (Melville & Dunsmuir),0187 Bute & Davie,Community Pass,1327,601,3557,3785,2,3,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2644,1201,3627,3824,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2650,1103,3666,3913,2,3,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2628,1160,3447,3568,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2660,1172,3671,3827,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,0,18,3660,3785,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2644,1148,3423,3742,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0218 Carrall & Seawall,0009 Spyglass & Seawall,365 Standard,1782,487,3297,3627,2,4,0,0
2022-01-01 13:00,2022-01-01 13:00,0218 Carrall & Seawall,0009 Spyglass & Seawall,365 Standard,1790,501,3544,3697,3,5,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,112,361,3623,3818,2,1,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,116,360,3621,3673,1,0,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,104,419,3711,3782,2,1,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,38,443,3637,3605,2,1,0,0
2022-01-01 13:00,2022-01-01 13:00,0212 Union & Dunlevy,0215 Princess & Union,365 Corporate Plus Renewal,341,136,3656,3823,2,3,0,0
2022-01-01 13:00,2022-01-01 13:00,0199 Georgia & Main,0212 Union & Dunlevy,365 Corporate Plus Renewal,414,178,3550,3660,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0209 Stanley Park - Information Booth,0105 Stanley Park - Totem Poles,24 Hour,990,798,3682,3753,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0006 Olympic Village Station,0155 Arbutus & McNicoll,365 Standard,3791,1240,3752,3885,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0215 Princess & Union,0199 Georgia & Main,365 Corporate Plus Renewal,739,294,3534,3648,1,0,0,0
2022-01-01 13:00,2022-01-01 14:00,0136 David Lam Park - West,0028 Davie & Beach,24 Hour,2911,3113,3777,3864,2,2,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1147,448,3679,3874,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1147,504,3590,3668,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1141,548,3779,3903,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1165,523,3715,3885,3,4,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1145,566,3513,3758,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0014 Canada Place,0102 Stanley Park - Second Beach North,Community Pass,3559,831,3598,3845,2,5,0,0
2022-01-01 13:00,2022-01-01 14:00,0105 Stanley Park - Totem Poles,0100 Stanley Park - Prospect Point,24 Hour,4331,3157,3666,3782,2,2,0,0
2022-01-01 14:00,2022-01-01 14:00,0177 Quebec & 1st,0177 Quebec & 1st,365 Standard,0,33,3539,3568,2,1,0,0
2022-01-01 14:00,2022-01-01 14:00,0093 Chilco & Robson,0209 Stanley Park - Information Booth,365 Standard,0,599,3545,3731,2,2,0,0
2022-01-01 14:00,2022-01-01 14:00,0104 Stanley Park - Second Beach South,0209 Stanley Park - Information Booth,24 Hour,1727,631,3653,3876,4,3,0,0
2022-01-01 14:00,2022-01-01 14:00,0032 Comox & Denman,0065 Cypress & Cornwall,365 Day Founding Plus,3144,1139,3508,3716,3,3,0,0
2022-01-01 14:00,2022-01-01 14:00,0100 Stanley Park - Prospect Point,0104 Stanley Park - Second Beach South,24 Hour,3265,1233,3689,3850,3,2,0,0
2022-01-01 14:00,2022-01-01 14:00,0174 1st & Manitoba,0058 Homer & Smithe,30 Day Pass,2975,1136,3608,3777,3,3,0,0
2022-01-01 14:00,2022-01-01 15:00,0010 Stamps Landing,0154 Kitsilano Beach Park,365 Plus,4598,1659,3758,3869,3,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0044 Pacific & Richards,0079 Nelson & Richards,30 Day Pass,769,315,3637,3811,3,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1731,1078,3752,3992,3,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,0,1231,3350,3463,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1805,1207,3887,4013,2,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1768,1228,3734,3881,2,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0089 Burrard & Drake,0123 Georgia & Thurlow,365 Plus,1278,582,3431,3611,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1725,1470,3608,3766,2,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0098 Carrall & Hastings,0073 Ontario & 5th,365 Plus,2068,720,3399,3602,3,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0006 Olympic Village Station,0026 Beatty & Robson,365 Corporate Plus Renewal,1533,614,3710,3890,3,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0008 8th & Ash,0031 Morton & Denman,365 Corporate Plus,5731,2171,3598,3793,2,4,252,1
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2920,1103,3777,3995,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2852,1083,3576,3892,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2809,1603,3905,3926,1,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0103 Stanley Park - Third Beach Parking Lot,24 Hour,0,18,3721,3776,2,1,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,0,1453,3400,3416,1,2,14,1
2022-01-01 15:00,2022-01-01 15:00,0177 Quebec & 1st,0064 Expo & Smithe,365 Standard,2,23,3665,3566,4,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2879,1399,3581,3739,2,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0154 Kitsilano Beach Park,0154 Kitsilano Beach Park,365 Plus,6287,3235,3692,3790,4,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0073 Ontario & 5th,0098 Carrall & Hastings,365 Plus,2064,664,3423,3658,3,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0058 Homer & Smithe,0057 Marinaside & Cooperage,365 Corporate Plus Renewal,675,247,3539,3642,3,3,0,0
2022-01-01 15:00,2022-01-01 16:00,0154 Kitsilano Beach Park,0010 Stamps Landing,365 Plus,4567,1841,3698,3829,4,3,0,0
