"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-01","2022","01","01","","1.4","","-9.8","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","","","9","","49",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-02","2022","01","02","","5.0","","0.5","","2.8","","15.2","","0.0","","4.9","","3.7","","8.6","","7","","14","","68",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-03","2022","01","03","","5.4","","1.6","","3.5","","14.5","","0.0","","7.6","","0.0","","7.6","","2","","20","","62",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-04","2022","01","04","","4.9","","0.2","","2.6","","15.4","","0.0","","5.6","","0.4","","7.0","","0","T","20","","46",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-05","2022","01","05","","0.8","","-3.4","","-1.3","","19.3","","0.0","","0.0","","0.9","","0.9","","0","T","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-06","2022","01","06","","3.9","","-3.5","","0.2","","17.8","","0.0","","6.8","","12.0","","16.4","","12","","10","","38",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-07","2022","01","07","","4.6","","1.3","","3.0","","15.0","","0.0","","7.6","","0.0","","7.6","","2","","29","","83",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-08","2022","01","08","","3.4","","-2.1","","0.7","","17.3","","0.0","","3.0","","0.0","","3.0","","","","7","","32",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-09","2022","01","09","","6.7","","-1.5","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-10","2022","01","10","","8.5","","-1.4","","3.6","","14.4","","0.0","","4.6","","0.0","","4.6","","","","7","","38",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-11","2022","01","11","","10.0","","6.7","","8.4","","9.6","","0.0","","17.7","","0.0","","17.7","","","","10","","41",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-12","2022","01","12","","11.5","","8.9","","10.2","","7.8","","0.0","","29.3","","0.0","","29.3","","","","9","","38",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-13","2022","01","13","","11.1","","3.9","","7.5","","10.5","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-14","2022","01","14","","9.8","","5.1","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-15","2022","01","15","","7.0","","3.3","","5.2","","12.8","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-16","2022","01","16","","6.5","","4.7","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-17","2022","01","17","","7.3","","4.0","","5.7","","12.3","","0.0","","1.7","","0.0","","1.7","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-18","2022","01","18","","7.0","","5.5","","6.3","","11.7","","0.0","","3.1","","0.0","","3.1","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-19","2022","01","19","","9.6","","6.5","","8.1","","9.9","","0.0","","8.0","","0.0","","8.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-20","2022","01","20","","11.7","","6.1","","8.9","","9.1","","0.0","","11.0","","0.0","","11.0","","","","26","","50",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-21","2022","01","21","","7.6","","2.2","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-22","2022","01","22","","7.0","","1.4","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-23","2022","01","23","","4.3","","0.0","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-24","2022","01","24","","4.3","","2.2","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-25","2022","01","25","","3.0","","1.3","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-26","2022","01","26","","3.4","","1.2","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-27","2022","01","27","","4.8","","-0.4","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-28","2022","01","28","","8.0","","-2.2","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-29","2022","01","29","","7.0","","-0.2","","3.4","","14.6","","0.0","","6.4","","0.0","","6.4","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-30","2022","01","30","","7.6","","4.6","","6.1","","11.9","","0.0","","14.0","","0.0","","14.0","","","","28","","59",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-01-31","2022","01","31","","7.0","","3.7","","5.4","","12.6","","0.0","","0.0","","0.0","","0.0","","","","28","","54",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-02-01","2022","02","01","","6.1","","-0.4","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","","","28","","48",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-02-02","2022","02","02","","2.0","","-1.8","","0.1","","17.9","","0.0","","0.3","","0.0","T","0.3","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-02-03","2022","02","03","","5.9","","1.8","","3.9","","14.1","","0.0","","7.3","","0.0","T","7.3","","","","","M","","M"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-02-04","2022","02","04","","8.6","","3.8","","6.2","","11.8","","0.0","","3.3","","0.0","","3.3","","","","12","","46",""
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-02-05","2022","02","05","","7.5","","3.9","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","","","24","","52",""
