Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2017-01-01,2.2,-2.3,-0.1,18.1,0.0,0.0,0.0,0.0,3.0,41
2017-01-02,1.4,-6.0,-2.3,20.3,0.0,0.0,0.0,0.0,2.0,<31
2017-01-03,0.4,-7.8,-3.7,21.7,0.0,0.0,0.0,0.0,1.0,<31
2017-01-04,2.2,-8.4,-3.1,21.1,0.0,0.0,0.0,0.0,1.0,32
2017-01-05,0.7,-6.6,-3.0,21.0,0.0,0.0,0.0,0.0,1.0,<31
2017-01-06,2.5,-1.3,0.6,17.4,0.0,0.0,0.0,0.0,1.0,33
2017-01-07,1.9,-4.1,-1.1,19.1,0.0,0.0,0.0,0.0,,<31
2017-01-08,3.7,0.3,2.0,16.0,0.0,11.0,0.0,11.0,1.0,<31
2017-01-09,5.2,1.5,3.4,14.6,0.0,2.6,0.0,2.6,0.0,59
2017-01-10,3.6,-4.5,-0.5,18.5,0.0,0.0,0.0,0.0,0.0,32
2017-01-11,1.8,-6.7,-2.5,20.5,0.0,0.0,0.0,0.0,,<31
2017-01-12,0.5,-7.6,-3.6,21.6,0.0,0.0,0.0,0.0,,<31
2017-01-13,0.8,-7.1,-3.2,21.2,0.0,0.0,0.0,0.0,,<31
2017-01-14,3.2,-7.1,-2.0,20.0,0.0,0.0,0.0,0.0,0.0,<31
2017-01-15,4.2,-2.6,0.8,17.2,0.0,0.0,0.0,0.0,,<31
2017-01-16,6.0,0.2,3.1,14.9,0.0,4.4,0.0,4.4,,<31
2017-01-17,9.0,4.7,6.9,11.1,0.0,28.4,0.0,28.4,,56
2017-01-18,11.4,7.9,9.7,8.3,0.0,26.0,0.0,26.0,,54
2017-01-19,8.7,5.6,7.2,10.8,0.0,20.8,0.0,20.8,,37
2017-01-20,7.3,1.6,4.5,13.5,0.0,0.4,0.0,0.4,,<31
2017-01-21,10.5,4.2,7.4,10.6,0.0,1.6,0.0,1.6,,<31
2017-01-22,7.4,2.0,4.7,13.3,0.0,2.8,0.0,2.8,,<31
2017-01-23,6.9,-1.7,2.6,15.4,0.0,0.0,0.0,0.0,,<31
2017-01-24,4.6,-1.8,1.4,16.6,0.0,0.0,0.0,0.0,0.0,<31
2017-01-25,5.8,2.1,4.0,14.0,0.0,0.0,0.0,0.0,,<31
2017-01-26,7.1,-0.7,3.2,14.8,0.0,0.0,0.0,0.0,,<31
2017-01-27,8.9,2.2,5.6,12.4,0.0,0.0,0.0,0.0,,<31
2017-01-28,9.8,0.1,5.0,13.0,0.0,0.0,0.0,0.0,,<31
