"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 00:00","2019","03","01","00:00","-2.4","","-4.2","","88","","","","","","0","","32.2","","102.11","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 01:00","2019","03","01","01:00","-0.2","","-2.9","","82","","","","19","","3","","32.2","","102.14","","","","-1","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 02:00","2019","03","01","02:00","-1.5","","-3.4","","87","","","","6","","3","","32.2","","102.16","","","","-3","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 03:00","2019","03","01","03:00","-1.8","","-2.7","","94","","","","13","","6","","32.2","","102.15","","","","-4","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 04:00","2019","03","01","04:00","-2.3","","-3.2","","93","","","","8","","3","","32.2","","102.16","","","","-3","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 05:00","2019","03","01","05:00","-3.4","","-4.1","","95","","","","11","","5","","32.2","","102.17","","","","-5","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 06:00","2019","03","01","06:00","-1.9","","-3.0","","92","","","","9","","5","","32.2","","102.18","","","","-4","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 07:00","2019","03","01","07:00","-2.3","","-3.8","","90","","","","8","","5","","48.3","","102.20","","","","-4","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 08:00","2019","03","01","08:00","-0.9","","-2.5","","89","","","","15","","3","","48.3","","102.21","","","","-2","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 09:00","2019","03","01","09:00","2.0","","-1.4","","78","","","","12","","4","","48.3","","102.23","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 10:00","2019","03","01","10:00","3.3","","-0.9","","74","","","","20","","9","","48.3","","102.23","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 11:00","2019","03","01","11:00","5.3","","-1.1","","63","","","","31","","14","","48.3","","102.23","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 12:00","2019","03","01","12:00","5.9","","1.1","","71","","","","29","","17","","48.3","","102.21","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 13:00","2019","03","01","13:00","5.9","","1.1","","71","","","","29","","23","","48.3","","102.17","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 14:00","2019","03","01","14:00","5.9","","0.9","","70","","","","30","","23","","48.3","","102.11","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 15:00","2019","03","01","15:00","5.9","","0.8","","69","","","","30","","21","","48.3","","102.09","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 16:00","2019","03","01","16:00","5.7","","1.0","","72","","","","29","","19","","48.3","","102.08","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 17:00","2019","03","01","17:00","4.7","","1.1","","77","","","","29","","18","","48.3","","102.06","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 18:00","2019","03","01","18:00","3.0","","0.5","","84","","","","30","","14","","48.3","","102.04","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 19:00","2019","03","01","19:00","2.0","","0.1","","87","","","","31","","14","","32.2","","102.05","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 20:00","2019","03","01","20:00","2.6","","0.8","","88","","","","30","","15","","32.2","","102.06","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 21:00","2019","03","01","21:00","2.1","","1.1","","93","","","","33","","5","","32.2","","102.08","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 22:00","2019","03","01","22:00","2.1","","-2.2","","73","","","","4","","10","","32.2","","102.13","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-01 23:00","2019","03","01","23:00","1.8","","-2.4","","73","","","","5","","10","","32.2","","102.14","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 00:00","2019","03","02","00:00","-0.4","","-3.5","","80","","","","33","","5","","32.2","","102.17","","","","-2","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 01:00","2019","03","02","01:00","0.8","","-3.1","","75","","","","","","0","","32.2","","102.19","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 02:00","2019","03","02","02:00","-0.5","","-3.5","","81","","","","8","","4","","32.2","","102.21","","","","-2","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 03:00","2019","03","02","03:00","-3.0","","-4.4","","90","","","","35","","3","","32.2","","102.21","","","","-4","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 04:00","2019","03","02","04:00","-3.2","","-4.9","","88","","","","","","0","","32.2","","102.20","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 05:00","2019","03","02","05:00","-2.9","","-6.0","","79","","","","8","","3","","32.2","","102.23","","","","-4","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 06:00","2019","03","02","06:00","-3.8","","-5.9","","85","","","","3","","5","","32.2","","102.26","","","","-6","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 07:00","2019","03","02","07:00","-3.3","","-4.6","","91","","","","","","0","","48.3","","102.26","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 08:00","2019","03","02","08:00","-0.8","","-2.7","","87","","","","33","","5","","48.3","","102.31","","","","-2","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 09:00","2019","03","02","09:00","3.3","","-3.3","","62","","","","14","","3","","48.3","","102.34","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 10:00","2019","03","02","10:00","4.6","","-1.2","","66","","","","20","","5","","48.3","","102.33","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 11:00","2019","03","02","11:00","5.4","","-2.2","","58","","","","22","","11","","48.3","","102.34","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 12:00","2019","03","02","12:00","5.9","","-2.6","","54","","","","25","","12","","48.3","","102.31","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 13:00","2019","03","02","13:00","6.5","","-1.7","","56","","","","30","","16","","48.3","","102.25","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 14:00","2019","03","02","14:00","6.5","","0.9","","67","","","","30","","23","","48.3","","102.18","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 15:00","2019","03","02","15:00","6.4","","-0.7","","60","","","","30","","22","","48.3","","102.18","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 16:00","2019","03","02","16:00","6.3","","0.0","","64","","","","29","","17","","48.3","","102.21","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 17:00","2019","03","02","17:00","4.6","","-0.1","","71","","","","29","","8","","48.3","","102.21","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 18:00","2019","03","02","18:00","3.7","","-0.6","","74","","","","28","","7","","48.3","","102.24","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 19:00","2019","03","02","19:00","3.7","","-1.6","","68","","","","27","","7","","32.2","","102.30","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 20:00","2019","03","02","20:00","1.6","","-1.9","","78","","","","15","","11","","32.2","","102.36","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 21:00","2019","03","02","21:00","1.1","","-6.6","","56","","","","10","","20","","32.2","","102.40","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 22:00","2019","03","02","22:00","0.8","","-8.5","","50","","","","9","","17","","32.2","","102.44","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-02 23:00","2019","03","02","23:00","0.2","","-9.3","","49","","","","9","","15","","32.2","","102.49","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 00:00","2019","03","03","00:00","0.4","","-9.5","","48","","","","10","","22","","32.2","","102.53","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 01:00","2019","03","03","01:00","0.8","","-10.8","","42","","","","9","","17","","32.2","","102.59","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 02:00","2019","03","03","02:00","0.9","","-11.4","","40","","","","10","","17","","32.2","","102.63","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 03:00","2019","03","03","03:00","0.8","","-11.9","","38","","","","10","","20","","32.2","","102.64","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 04:00","2019","03","03","04:00","0.7","","-11.9","","39","","","","11","","21","","32.2","","102.65","","","","","","Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 05:00","2019","03","03","05:00","0.9","","-12.5","","36","","","","10","","19","","32.2","","102.68","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 06:00","2019","03","03","06:00","0.6","","-12.4","","37","","","","10","","16","","32.2","","102.69","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 07:00","2019","03","03","07:00","0.8","","-12.3","","37","","","","10","","22","","48.3","","102.68","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 08:00","2019","03","03","08:00","1.1","","-11.8","","38","","","","10","","19","","48.3","","102.70","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 09:00","2019","03","03","09:00","2.4","","-11.6","","35","","","","10","","16","","48.3","","102.73","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 10:00","2019","03","03","10:00","3.2","","-14.3","","27","","","","9","","7","","48.3","","102.75","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 11:00","2019","03","03","11:00","5.0","","-13.3","","26","","","","11","","8","","48.3","","102.74","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 12:00","2019","03","03","12:00","5.0","","-10.2","","33","","","","26","","12","","48.3","","102.72","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 13:00","2019","03","03","13:00","5.5","","-8.8","","35","","","","29","","14","","48.3","","102.66","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 14:00","2019","03","03","14:00","5.2","","-8.9","","36","","","","27","","19","","48.3","","102.60","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 15:00","2019","03","03","15:00","4.7","","-9.5","","35","","","","26","","17","","48.3","","102.56","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 16:00","2019","03","03","16:00","4.7","","-8.2","","39","","","","26","","15","","48.3","","102.56","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 17:00","2019","03","03","17:00","4.1","","-6.6","","46","","","","28","","9","","48.3","","102.51","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 18:00","2019","03","03","18:00","1.1","","-6.3","","57","","","","30","","11","","48.3","","102.51","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 19:00","2019","03","03","19:00","1.4","","-5.0","","62","","","","36","","6","","32.2","","102.51","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 20:00","2019","03","03","20:00","1.7","","-8.3","","47","","","","9","","10","","32.2","","102.51","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 21:00","2019","03","03","21:00","1.7","","-11.4","","37","","","","7","","12","","32.2","","102.52","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 22:00","2019","03","03","22:00","-0.5","","-9.9","","49","","","","9","","12","","32.2","","102.54","","","","-4","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-03 23:00","2019","03","03","23:00","-1.1","","-10.1","","51","","","","9","","10","","32.2","","102.56","","","","-5","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 00:00","2019","03","04","00:00","0.2","","-11.2","","42","","","","10","","8","","32.2","","102.58","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 01:00","2019","03","04","01:00","-0.2","","-12.1","","40","","","","11","","7","","32.2","","102.60","","","","-3","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 02:00","2019","03","04","02:00","-2.7","","-6.9","","73","","","","35","","4","","32.2","","102.61","","","","-4","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 03:00","2019","03","04","03:00","-1.8","","-9.3","","57","","","","2","","4","","32.2","","102.60","","","","-3","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 04:00","2019","03","04","04:00","-0.8","","-10.8","","47","","","","8","","5","","32.2","","102.60","","","","-2","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 05:00","2019","03","04","05:00","-2.7","","-10.5","","55","","","","12","","5","","32.2","","102.62","","","","-5","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 06:00","2019","03","04","06:00","-2.9","","-10.6","","56","","","","10","","6","","32.2","","102.62","","","","-5","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 07:00","2019","03","04","07:00","-2.7","","-12.0","","49","","","","10","","11","","48.3","","102.64","","","","-7","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 08:00","2019","03","04","08:00","-1.7","","-8.2","","62","","","","10","","7","","48.3","","102.68","","","","-4","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 09:00","2019","03","04","09:00","1.6","","-10.7","","40","","","","11","","9","","48.3","","102.69","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 10:00","2019","03","04","10:00","3.6","","-10.2","","36","","","","29","","10","","48.3","","102.69","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 11:00","2019","03","04","11:00","4.0","","-9.6","","36","","","","28","","13","","48.3","","102.66","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 12:00","2019","03","04","12:00","5.2","","-8.5","","37","","","","30","","15","","48.3","","102.63","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 13:00","2019","03","04","13:00","4.3","","-9.0","","37","","","","25","","17","","48.3","","102.59","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 14:00","2019","03","04","14:00","4.7","","-8.4","","38","","","","24","","18","","48.3","","102.56","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 15:00","2019","03","04","15:00","4.7","","-8.2","","39","","","","26","","17","","48.3","","102.53","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 16:00","2019","03","04","16:00","4.7","","-8.2","","39","","","","29","","17","","48.3","","102.49","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 17:00","2019","03","04","17:00","3.7","","-8.9","","39","","","","29","","17","","48.3","","102.47","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 18:00","2019","03","04","18:00","1.2","","-6.7","","56","","","","29","","16","","48.3","","102.44","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 19:00","2019","03","04","19:00","1.2","","-7.0","","55","","","","31","","13","","32.2","","102.44","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 20:00","2019","03","04","20:00","1.1","","-7.9","","51","","","","1","","5","","32.2","","102.42","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 21:00","2019","03","04","21:00","0.5","","-8.4","","51","","","","","","0","","32.2","","102.43","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2019-03-04 22:00","2019","03","04","22:00","-0.7","","-9.7","","51","","","","9","","5","","32.2","","102.38","","","","-2","","Clear"
